courseNumber,eval_link,quarter
MGT563,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15430,Fall
MGT566,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15538,Fall
MGT567,,Fall
MGT582,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15339,Fall
MGT595,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15312,Fall
MGT606,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15755,Fall
MGT611,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15313,Fall
MGT618,,Fall
MGT622,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15314,Fall
MGT628,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15315,Fall
MGT629,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15754,Fall
MGT629,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15754,Fall
MGT632,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15316,Fall
MGT637,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15757,Fall
MGT646,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15317,Fall
MGT650,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15318,Fall
MGT656,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15319,Fall
MGT659,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15525,Fall
MGT667,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15524,Fall
MGT669,,Fall
MGT674,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15374,Fall
MGT680,,Fall
MGT684,,Fall
MGT698,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=12710,Fall
