courseNumber,courseTitle,daytime,faculty1,Units
MGT897,Entrepreneurial Finance,M  W 1:00 PM-2:20 PM,"Ma, Song",2
MGT897,Entrepreneurial Finance,M  W 2:40 PM-4:00 PM,"Ma, Song",2
MGT927,Financial Econometrics and Machine Learning,F 8:30 AM-11:30 AM,"Kelly, Bryan",2
MGT932,Financial Markets & Macroeconomic Policy,M  W 10:10 AM-11:30 AM,"Simsek, Alp",2
MGT932,Financial Markets & Macroeconomic Policy,M  W 2:40 PM-4:00 PM,"Simsek, Alp",2
MGT933,Investing Excellence,Th 3:00 PM-6:00 PM,"Takahashi, Dean",2
MGT997,Venture Capital and Private Equity,M  W 8:30 AM-9:50 AM,"Ma, Song",2
MGT997,Venture Capital and Private Equity,M  W 10:10 AM-11:30 AM,"Ma, Song",2
MGMT700,SeminarAccountingRsrch I,Th 2:00 PM-6:00 PM,"Huang, Zeqiong",1
MGMT732,Psychological and Organizational Approaches to Trust and Ethics,M 8:30 AM-11:30 AM,"Levine, Emma",1
MGMT740,Financial Economics I,M 1:00 PM-4:00 PM,"Giglio, Stefano",1
MGMT753,Behavioral Decision Making: Choice,T 4:10 PM-7:10 PM,"Dhar, Ravi",1
MGMT760,Current Topics in Judgement and Decision-Making,Th 2:30 PM-5:30 PM,"Zauberman, Gal",1
MGMT762,Macro Finance,T 4:10 PM-7:10 PM,"Simsek, Alp",1
MGMT763,Organizations and Management II: Macro and Meso Perspectives on Organizations and Their Environment,M 1:00 PM-4:00 PM,"DiBenigno, Julia",1
MGMT781,Accounting/Finance Seminar,F 11:10 AM-12:30 PM,"Fontanier, Paul",1
MGMT781,Marketing Seminar,Th 11:35 AM-12:50 PM,"Klusowski, Joowon",1
MGMT781,Organizations & Management Seminar,T 11:35 AM-12:50 PM,"Mungia Gomez, David",1
MGMT781,Operations Seminar,T 11:35 AM-12:45 PM,"Monachou, Faidra",1
MGMT782,Ph.D. PreSeminar: Financial Economics,F 9:50 AM-11:00 AM,"Fontanier, Paul",1
MGMT782,Ph.D. PreSeminar: Marketing,Th 10:10 AM-11:20 AM,"Klusowski, Joowon",1
MGMT782,Ph.D. PreSeminar: Organizations & Management,T 10:10 AM-11:20 AM,"Mungia Gomez, David",1
MGMT782,Ph.D. PreSeminar: Operations,M 1:00 PM-4:00 PM,"Monachou, Faidra",1
MGT525,Competitive Strategy,Th 2:40 PM-5:40 PM,"Marciano, Sonia",4
MGT527,Strategic Management of Nonprofit Organizations,T  Th 8:30 AM-9:50 AM,"Chevalier, Judith",4
MGT531,Interpersonal Dynamics,T 2:40 PM-5:40 PM,"Brooks, Heidi",4
MGT536,Urban Poverty and Economic Development,T  Th 1:00 PM-2:20 PM,"Cooney, Kate",4
MGT541,Corporate Finance,T 8:30 AM-11:30 AM,"Tookes, Heather",4
MGT546,Real Estate Development,Th 2:40 PM-5:40 PM,"Sheinberg, Zachary",4
MGT563,Energy Systems Analysis,M  W 9:00 AM-10:20 AM,"Rao, Narasimha",4
MGT595,Quantitative Investing,T 8:30 AM-11:30 AM,"Moskowitz, Tobias",4
MGT606,Economic Evolution of the Latin American and Caribbean Countries,M 9:25 AM-11:15 AM,"Zedillo, Ernesto",4
MGT611,Policy Modeling,M  W 10:10 AM-11:30 AM,"Kaplan, Edward",4
MGT622,Game Theory,T  Th 11:35 AM-12:50 PM,"Polak, Benjamin",4
MGT628,Central Banking,M  W 1:00 PM-2:15 PM,"English, William",4
MGT629,Ethical Choices in Public Leadership,F 8:30 AM-11:15 AM,"Braverman, Eric",4
MGT632,Housing Connecticut: Developing Healthy and Sustainable Neighborhoods,F 9:30 AM-12:30 PM,"Cooney, Kate",4
MGT637,Social Innovation Starter,T 1:00 PM-3:00 PM,"Chahine, Teresa",4
MGT646,Start-up Founder Practicum,T 11:40 AM-12:50 PM,"McFadden, Jennifer",4
MGT650,Customer Insights and Applications,W 5:45 PM-7:15 PM,"Ahmed, Treeny",6
MGT656,Management of Software Development,M  W 2:40 PM-4:00 PM,"Jensen, Kyle",4
MGT659,Business Organizations,M  W 10:10 AM-12:00 PM,"Macey, Jonathan",4
MGT667,Secured Transactions,T  Th 2:10 PM-4:00 PM,"Janger, Ted",4
MGT699,Colloquium in Healthcare Leadership,Th 6:30 PM-7:30 PM,"Forman, Howie",1
MGT817,Sports Analytics,T 4:10 PM-7:10 PM,"Moskowitz, Tobias",4
MGT837,Policy Design,M  W 1:00 PM-2:20 PM,"Abaluck, Jason",4
MGT867,Modern Philanthropy: Perspectives and Challenges,Th 2:40 PM-5:40 PM,"Chevalier, Judith",4
MGT890,Global Financial Crisis,T  Th 1:00 PM-2:20 PM,"Metrick, Andrew",4
MGT921,Asset Management Colloquium,F 12:30 PM-2:30 PM,"Moskowitz, Tobias",2
MGT944,Macroprudential Policy I,M  W 2:40 PM-4:00 PM,"Benediktsdottir, Sigga",4
MGT948,Security Analysis & Valuation,M  W 10:10 AM-11:30 AM,"Spiegel, Matthew",4
MGT949,Systemic-Risk Colloquium,F 2:00 PM-3:20 PM,"Metrick, Andrew",2
MGT960,Economic Analysis of High-Tech Industries,T  Th 8:30 AM-9:50 AM,"Snyder, Edward",4
MGT960,Economic Analysis of High-Tech Industries,T  Th 10:10 AM-11:30 AM,"Snyder, Edward",4
MGT984,Studies in Grand Strategy II,M 1:30 PM-3:20 PM,"Westad, Arne",4
MGT992,Health Care Strategy,M  W 2:40 PM-4:00 PM,"Abaluck, Jason",4
MGMT720a,Models of Operations Research and Management,T 8:30 AM-11:30 AM,"Manshadi, Vahideh",0.5
MGMT742a,Financial Econometrics and Machine Learning,F 1:00 PM-4:00 PM,"Kelly, Bryan",0.5
